layer,head,n_trials,mean_delta_p,std_delta_p,mean_abs_delta_p,mean_p_base,std_p_base,mean_p_patch,std_p_patch,mean_p_base_target,mean_p_patch_target,mean_delta_p_target,mean_delta_logit,std_delta_logit,mean_abs_delta_logit,mean_logit_base,mean_logit_patch,mean_delta_logprob,std_delta_logprob,mean_abs_delta_logprob,mean_logprob_base,mean_logprob_patch,any_nonzero,mean_act_norm,clean_mean_norm
16,22,25,0.0004506254196166992,0.0020670620489497914,0.0005303907394409179,0.007979826927185059,0.01743489560514336,0.008430452346801757,0.019266005862369394,0.007979826927185059,0.008430452346801757,0.0004506254196166992,-0.01046875,0.06320616687673758,0.04015625,7.55265625,7.5421875,-0.014296875,0.06813180871938598,0.039765625,-6.49125,-6.505546875,True,0.8838684558868408,0.8838684558868408
12,11,25,0.0004490089416503906,0.001508249459717049,0.00048791885375976563,0.007979826927185059,0.01743489560514336,0.008428835868835449,0.018832851197007006,0.007979826927185059,0.008428835868835449,0.0004490089416503906,0.0325,0.064600636123029,0.055625,7.55265625,7.58515625,0.02984375,0.05432502642515464,0.04671875,-6.49125,-6.46140625,True,0.795281708240509,0.795281708240509
17,5,25,0.0004245758056640625,0.0020090092072216274,0.000587921142578125,0.007979826927185059,0.01743489560514336,0.008404402732849122,0.01901813034148405,0.007979826927185059,0.008404402732849122,0.0004245758056640625,0.07859375,0.06755278607318872,0.09109375,7.55265625,7.63125,0.041015625,0.045426849250333225,0.053359375,-6.49125,-6.450234375,True,0.8425100445747375,0.8425100445747375
10,2,25,0.00042233467102050783,0.001768578932435886,0.00043408393859863283,0.007979826927185059,0.01743489560514336,0.008402161598205567,0.018933054085796826,0.007979826927185059,0.008402161598205567,0.00042233467102050783,0.0309375,0.039804208320226644,0.04,7.55265625,7.58359375,0.028046875,0.03615288715994893,0.032421875,-6.49125,-6.463203125,True,1.4023144245147705,1.4023144245147705
14,8,25,0.000417485237121582,0.001127484245724383,0.00047833919525146483,0.007979826927185059,0.01743489560514336,0.00839731216430664,0.01837421308934385,0.007979826927185059,0.00839731216430664,0.000417485237121582,0.0215625,0.06717950533830984,0.055,7.55265625,7.57421875,0.03921875,0.05564705058025313,0.05296875,-6.49125,-6.45203125,True,1.2964956760406494,1.2964956760406494
9,15,25,0.0004161977767944336,0.001427740468447141,0.00043111324310302735,0.007979826927185059,0.01743489560514336,0.008396024703979493,0.018707728349857698,0.007979826927185059,0.008396024703979493,0.0004161977767944336,0.02921875,0.03710929276306677,0.03765625,7.55265625,7.581875,0.0215625,0.032707607641896556,0.02984375,-6.49125,-6.4696875,True,1.7682183980941772,1.7682183980941772
14,12,25,0.00041017532348632815,0.001261718715106399,0.0004534435272216797,0.007979826927185059,0.01743489560514336,0.008390002250671387,0.018490347185918056,0.007979826927185059,0.008390002250671387,0.00041017532348632815,0.04453125,0.07273601132692115,0.05796875,7.55265625,7.5971875,0.042421875,0.06693840087512361,0.056015625,-6.49125,-6.448828125,True,1.487559199333191,1.487559199333191
24,19,25,0.0003699207305908203,0.0017080072198597791,0.00038402557373046876,0.007979826927185059,0.01743489560514336,0.008349747657775878,0.018889385915899788,0.007979826927185059,0.008349747657775878,0.0003699207305908203,0.01359375,0.031095712877742487,0.02078125,7.55265625,7.56625,0.01125,0.028476964374736295,0.016875,-6.49125,-6.48,True,0.25073522329330444,0.25073522329330444
17,24,25,0.0003598356246948242,0.001009217338787504,0.00036166667938232423,0.007979826927185059,0.01743489560514336,0.008339662551879883,0.018090570760402595,0.007979826927185059,0.008339662551879883,0.0003598356246948242,-0.0003125,0.03866863938484259,0.029375,7.55265625,7.55234375,0.035546875,0.037353228399631004,0.036171875,-6.49125,-6.455703125,True,0.33671778440475464,0.33671778440475464
17,8,25,0.00035798072814941407,0.0012690290968433793,0.00035864830017089843,0.007979826927185059,0.01743489560514336,0.008337807655334473,0.018566500005069424,0.007979826927185059,0.008337807655334473,0.00035798072814941407,0.0346875,0.03534359803238771,0.040625,7.55265625,7.58734375,0.03078125,0.02890772800275473,0.03203125,-6.49125,-6.46046875,True,0.5990857481956482,0.5990857481956482
