q_id,layer,baseline_layer,super_layer,acc_base_baseline,acc_base_super,diff_acc_base,acc_with_baseline,acc_with_super,diff_acc_with,delta_acc_baseline,delta_acc_super,diff_delta_acc,mean_delta_logprob_baseline,mean_delta_logprob_super,diff_mean_delta_logprob,mean_delta_p_baseline,mean_delta_p_super,diff_mean_delta_p,mean_delta_logit_baseline,mean_delta_logit_super,diff_mean_delta_logit
Q5,15,15,15,0.0,0.0,0.0,0.4,0.1,-0.30000000000000004,0.4,0.1,-0.30000000000000004,3.5467065811157226,2.84065580368042,-0.7060507774353026,0.0688341838933411,0.025358120280725416,-0.04347606361261569,4.13203125,3.35546875,-0.7765624999999998
Q5,16,16,16,0.0,0.0,0.0,0.1,0.0,-0.1,0.1,0.0,-0.1,3.1201961517333983,2.3954339027404785,-0.7247622489929197,0.044173594324092846,0.018706479707907418,-0.025467114616185428,3.3171875,2.647265625,-0.669921875
Q5,17,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.506784534454346,1.8657320976257323,-0.6410524368286135,0.018501751926669384,0.008619303604064044,-0.00988244832260534,2.639453125,2.04375,-0.595703125
Q5,18,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0549795150756838,1.5564116477966308,-0.498567867279053,0.010001301309966949,0.005485305534966756,-0.004515995775000193,2.359375,1.919921875,-0.439453125
Q5,19,19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8054254531860352,1.32973051071167,-0.4756949424743653,0.0071425312125938945,0.003961867988982704,-0.0031806632236111906,1.95859375,1.573046875,-0.38554687499999996
Q5,20,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7140762329101562,1.3965251922607422,-0.317551040649414,0.00568750556994928,0.0038919483296922406,-0.0017955572402570397,2.03671875,1.758203125,-0.2785156249999998
Q5,21,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5973958969116211,0.6223034858703613,0.024907588958740234,0.0012630964891286566,0.0012643576541449876,1.2611650163309087e-06,0.76796875,0.844921875,0.07695312500000007
Q5,22,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49572324752807617,0.5506499290466309,0.05492668151855473,0.0009714254949358292,0.0010257973641273565,5.4371869191527237e-05,0.88203125,0.929296875,0.04726562499999998
Q5,23,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24713010787963868,0.31661367416381836,0.06948356628417968,0.0007002580212429165,0.0007805525412550196,8.029452001210311e-05,0.794921875,0.865234375,0.0703125
Q5,24,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2730705261230469,0.32270145416259766,0.04963092803955077,0.0005989990939269773,0.0006723466591211036,7.334756519412628e-05,0.823046875,0.86171875,0.03867187500000002
Q5,25,25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31516408920288086,0.36705265045166013,0.051888561248779275,0.0007740893022855743,0.0008402030463912525,6.611374410567814e-05,0.67578125,0.720703125,0.044921875
Q5,26,26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30351552963256834,0.36118688583374026,0.05767135620117192,0.0006307978706900031,0.0007059744209982454,7.517655030824238e-05,0.854296875,0.90625,0.051953125000000044
Q5,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17215547561645508,0.22460832595825195,0.052452850341796864,0.0003761037572985515,0.0004804012496606447,0.0001042974923620932,0.495703125,0.486328125,-0.009375000000000022
Q5,28,28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08212299346923828,0.20460233688354493,0.12247934341430665,0.00027838808164233343,0.0004734401809400879,0.00019505209929775446,0.5765625,0.567578125,-0.008984374999999933
Q5,29,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.542674446105957,-0.3082720756530762,0.23440237045288087,-0.00044139633973827586,-0.0002011969503655564,0.00024019938937271945,0.45390625,0.469921875,0.016015624999999978
Q5,30,30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.291112232208252,-1.0217981338500977,0.26931409835815434,-0.0009094829209061572,-0.0007851160327845719,0.00012436688812158527,0.247265625,0.33359375,0.08632812500000003
Q5,31,31,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2594374656677245,-1.065511703491211,0.19392576217651358,-0.0009468600892432733,-0.0008710645051905885,7.579558405268472e-05,-0.188671875,-0.17265625,0.016015624999999978
Q8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21933937072753906,-1.1327974319458007,-0.9134580612182617,-0.0010685548102628672,-0.0007686963725518581,0.0002998584377110091,-0.4591796875,-1.3017578125,-0.842578125
Q8,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.057926082611084,-0.3498857498168945,-1.4078118324279785,0.0049197095911949875,0.008064932159868476,0.003145222568673489,0.907421875,-0.014453125,-0.921875
Q8,2,2,2,0.0,0.0,0.0,0.2,0.0,-0.2,0.2,0.0,-0.2,2.562234401702881,-1.3430329322814942,-3.905267333984375,0.05478908758050238,0.00242284040452887,-0.05236624717597351,2.5265625,-0.1205078125,-2.6470703125
Q8,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2912357330322266,-0.3744327545166016,-1.6656684875488281,0.00629629655595636,0.006869480177374499,0.0005731836214181388,1.3453125,0.83984375,-0.5054687499999999
Q8,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8400225639343262,0.29816398620605467,-0.5418585777282715,0.0021134747046744453,0.014386300037949695,0.012272825333275249,1.09609375,1.0046875,-0.09140625000000013
Q8,5,5,5,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,1.3275746345520019,1.1743452072143554,-0.15322942733764644,0.007630707200587494,0.022779287652883794,0.0151485804522963,1.457421875,1.397265625,-0.06015625000000013
Q8,6,6,6,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,1.8235560417175294,1.583376121520996,-0.24017992019653334,0.020236468020448227,0.02455820917712117,0.0043217411566729425,2.0984375,1.7765625,-0.32187500000000013
Q8,7,7,7,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,2.08414831161499,1.7439743041992188,-0.3401740074157713,0.032200148456104215,0.038979873511198096,0.006779725055093881,2.46484375,2.1640625,-0.30078125
Q8,8,8,8,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,2.2845060348510744,1.6009250640869142,-0.6835809707641602,0.042773850548110205,0.022266688000308933,-0.020507162547801272,2.7625,2.344140625,-0.4183593750000001
Q8,9,9,9,0.0,0.0,0.0,0.1,0.2,0.1,0.1,0.2,0.1,2.062716579437256,1.4086056709289552,-0.6541109085083008,0.020341720898795757,0.015453336609425605,-0.004888384289370152,2.399609375,2.316796875,-0.08281249999999973
Q8,10,10,10,0.0,0.0,0.0,0.2,0.0,-0.2,0.2,0.0,-0.2,2.66980037689209,1.3671116828918457,-1.3026886940002442,0.0529574473050161,0.01614422640595876,-0.036813220899057336,3.253515625,2.654296875,-0.5992187499999999
Q8,11,11,11,0.0,0.0,0.0,0.3,0.0,-0.3,0.3,0.0,-0.3,2.9327880859375,1.3383378982543945,-1.5944501876831056,0.06742237706312153,0.017620360442742823,-0.049802016620378704,3.434375,2.565234375,-0.869140625
Q8,12,12,12,0.0,0.0,0.0,0.4,0.1,-0.30000000000000004,0.4,0.1,-0.30000000000000004,3.2937710762023924,1.40723876953125,-1.8865323066711424,0.12624202913611954,0.023833125731835027,-0.10240890340428452,3.999609375,3.03515625,-0.9644531249999999
Q8,13,13,13,0.0,0.0,0.0,0.5,0.1,-0.4,0.5,0.1,-0.4,3.523991012573242,1.6650554656982421,-1.858935546875,0.1397225724085729,0.03763732794432144,-0.10208524446425145,4.490234375,3.50234375,-0.9878906249999999
Q8,14,14,14,0.0,0.0,0.0,0.5,0.1,-0.4,0.5,0.1,-0.4,3.873529624938965,1.7797417640686035,-2.0937878608703615,0.16292444205209905,0.028757149589728213,-0.13416729246237083,5.322265625,3.554296875,-1.76796875
Q8,15,15,15,0.0,0.0,0.0,0.3,0.1,-0.19999999999999998,0.3,0.1,-0.19999999999999998,3.1225595474243164,1.781216526031494,-1.3413430213928224,0.0730980436605023,0.020261710056001903,-0.05283633360450039,4.078515625,2.866015625,-1.2124999999999995
