q_id,layer,acc_base,acc_with,delta_acc,mean_delta_logprob,mean_delta_p
Q6,24,0.0,0.0,0.0,0.4733279228210449,0.001282777539381641
Q6,25,0.0,0.0,0.0,0.42528276443481444,0.0012437690591468708
Q6,26,0.0,0.0,0.0,0.35562744140625,0.0011735468320694053
Q6,27,0.0,0.0,0.0,0.17768096923828125,0.0005314725643984275
Q6,28,0.0,0.0,0.0,0.15940093994140625,0.00029543270684371235
Q6,29,0.0,0.0,0.0,-0.07965812683105469,-0.00024406936900049913
Q6,30,0.0,0.0,0.0,-0.7443407058715821,-0.0012072864059518907
Q6,31,0.0,0.0,0.0,-0.8373892784118653,-0.0011337292873577099
Q7,0,0.0,0.0,0.0,-0.25960865020751955,0.0031663791325627242
Q7,1,0.0,0.0,0.0,-0.17141313552856446,0.0029804469215378047
Q7,2,0.0,0.0,0.0,-1.5224009513854981,0.000310914019246411
Q7,3,0.0,0.0,0.0,-3.106110191345215,-0.002472358547186104
Q7,4,0.0,0.0,0.0,-1.169899082183838,0.0005517698264156934
Q7,5,0.0,0.0,0.0,0.5496824264526368,0.007256460655298724
Q7,6,0.0,0.0,0.0,1.0821181297302247,0.015672900156459946
Q7,7,0.0,0.1,0.1,1.6823569297790528,0.029942261492942636
Q7,8,0.0,0.1,0.1,2.005336284637451,0.035386079311683714
Q7,9,0.0,0.1,0.1,2.405131721496582,0.052482236664036466
Q7,10,0.0,0.2,0.2,2.9467110633850098,0.0988625842217516
Q7,11,0.0,0.2,0.2,3.161286544799805,0.10430064617085008
Q7,12,0.0,0.2,0.2,3.6687816619873046,0.12997617167548015
Q7,13,0.0,0.2,0.2,3.9444839477539064,0.14857682150450274
Q7,14,0.0,0.2,0.2,3.845106506347656,0.11927438913971855
Q7,15,0.0,0.1,0.1,3.2074851036071776,0.06073427493811323
Q7,16,0.0,0.1,0.1,2.6548389434814452,0.03806390181543975
Q7,17,0.0,0.0,0.0,1.8441543579101562,0.01846314064005128
Q7,18,0.0,0.0,0.0,1.5842718124389648,0.013424651553032163
Q7,19,0.0,0.0,0.0,1.1177297592163087,0.006169245360615605
Q7,20,0.0,0.0,0.0,1.0564504623413087,0.0061989603154870565
Q7,21,0.0,0.0,0.0,0.9103697776794434,0.004817830644424248
Q7,22,0.0,0.0,0.0,0.675723934173584,0.0028327727273790514
Q7,23,0.0,0.0,0.0,0.48461112976074217,0.0020274126871299815
Q7,24,0.0,0.0,0.0,0.5317124366760254,0.002626968791264517
Q7,25,0.0,0.0,0.0,0.5943135261535645,0.0026497490232941347
Q7,26,0.0,0.0,0.0,0.4807441711425781,0.002608087875159981
Q7,27,0.0,0.0,0.0,0.35207700729370117,0.0020922547138980006
Q7,28,0.0,0.0,0.0,0.35556564331054685,0.0021854813950994865
Q7,29,0.0,0.0,0.0,-0.09332275390625,0.001618565381886583
Q7,30,0.0,0.0,0.0,-0.7441472053527832,-0.00024081123831365403
Q7,31,0.0,0.0,0.0,-0.8325994491577149,-0.0011338133157096308
Q8,0,0.0,0.0,0.0,-0.21933937072753906,-0.0010685548102628672
Q8,1,0.0,0.0,0.0,1.057926082611084,0.0049197095911949875
Q8,2,0.0,0.2,0.2,2.562234401702881,0.05478908758050238
Q8,3,0.0,0.0,0.0,1.2912357330322266,0.00629629655595636
Q8,4,0.0,0.0,0.0,0.8400225639343262,0.0021134747046744453
Q8,5,0.0,0.1,0.1,1.3275746345520019,0.007630707200587494
Q8,6,0.0,0.2,0.2,1.8235560417175294,0.020236468020448227
Q8,7,0.0,0.2,0.2,2.08414831161499,0.032200148456104215
Q8,8,0.0,0.2,0.2,2.2845060348510744,0.042773850548110205
Q8,9,0.0,0.1,0.1,2.062716579437256,0.020341720898795757
Q8,10,0.0,0.2,0.2,2.66980037689209,0.0529574473050161
Q8,11,0.0,0.3,0.3,2.9327880859375,0.06742237706312153
Q8,12,0.0,0.4,0.4,3.2937710762023924,0.12624202913611954
Q8,13,0.0,0.5,0.5,3.523991012573242,0.1397225724085729
Q8,14,0.0,0.5,0.5,3.873529624938965,0.16292444205209905
Q8,15,0.0,0.3,0.3,3.1225595474243164,0.0730980436605023
Q8,16,0.0,0.1,0.1,2.5133612632751463,0.038369632897592966
Q8,17,0.0,0.1,0.1,1.6743672370910645,0.015228579800532317
Q8,18,0.0,0.1,0.1,1.5105838775634766,0.01415450317763316
Q8,19,0.0,0.0,0.0,1.2026256561279296,0.008051212106511229
Q8,20,0.0,0.0,0.0,1.0460083961486817,0.005387462359431083
Q8,21,0.0,0.0,0.0,0.7569880485534668,0.0043242831230600135
Q8,22,0.0,0.0,0.0,0.6064149856567382,0.0033270384978095536
Q8,23,0.0,0.0,0.0,0.5167882919311524,0.0027920860371523303
Q8,24,0.0,0.0,0.0,0.46727809906005857,0.0022564257227713825
Q8,25,0.0,0.0,0.0,0.4096070289611816,0.0019958969380240886
Q8,26,0.0,0.0,0.0,0.3807697296142578,0.0022743673625882366
Q8,27,0.0,0.0,0.0,0.2915750503540039,0.0016718669246984063
Q8,28,0.0,0.0,0.0,0.26682167053222655,0.001646363224608649
Q8,29,0.0,0.0,0.0,0.22128877639770508,0.0012369676542220986
Q8,30,0.0,0.0,0.0,0.1624279022216797,0.0010611230236463598
Q8,31,0.0,0.0,0.0,0.02958545684814453,0.000275759274882148
Q9,0,0.0,0.2,0.2,0.7128439903259277,0.020319186941560475
Q9,1,0.0,0.2,0.2,1.4048378944396973,0.029030994611093774
Q9,2,0.0,0.0,0.0,-2.9303561210632325,-0.006256966071248371
Q9,3,0.0,0.0,0.0,-3.377570056915283,-0.006329531699032031
Q9,4,0.0,0.0,0.0,-1.8264708518981934,-0.0011540199478531576
Q9,5,0.0,0.1,0.1,0.510251522064209,0.014067639389941178
Q9,6,0.0,0.1,0.1,1.4825020790100099,0.025686975642020115
Q9,7,0.0,0.2,0.2,2.341662311553955,0.04469226090659504
Q9,8,0.0,0.2,0.2,3.0155296325683594,0.09724803933131625
Q9,9,0.0,0.2,0.2,3.301352882385254,0.13650833906795015
Q9,10,0.0,0.3,0.3,3.649691581726074,0.16407063306614872
Q9,11,0.0,0.2,0.2,3.6674891471862794,0.15537143263572945
Q9,12,0.0,0.3,0.3,4.176151752471924,0.21603072285142844
Q9,13,0.0,0.3,0.3,4.3263694763183596,0.22915690605368583
Q9,14,0.0,0.4,0.4,3.911855125427246,0.16029648327457835
Q9,15,0.0,0.1,0.1,3.0948441505432127,0.07439297626915505
Q9,16,0.0,0.1,0.1,2.03739652633667,0.03679787453220342
Q9,17,0.0,0.1,0.1,1.462375545501709,0.017524120306916302
Q9,18,0.0,0.1,0.1,1.5940998077392579,0.019149117607594236
Q9,19,0.0,0.1,0.1,1.0909534454345704,0.011724558314745082
Q9,20,0.0,0.1,0.1,1.026316261291504,0.007244919184449828
Q9,21,0.0,0.1,0.1,0.5821501731872558,0.004823604245757451
Q9,22,0.0,0.1,0.1,0.4599365234375,0.0037112962134415286
Q9,23,0.0,0.1,0.1,0.43008899688720703,0.003292322737252107
Q9,24,0.0,0.1,0.1,0.40491657257080077,0.004617213585152058
Q9,25,0.0,0.1,0.1,0.519614315032959,0.004303661938320147
Q9,26,0.0,0.1,0.1,0.28527421951293946,0.0033791146699513773
Q9,27,0.0,0.1,0.1,0.3090061187744141,0.0035319340975547677
Q9,28,0.0,0.1,0.1,0.19617900848388672,0.003093528125464218
Q9,29,0.0,0.1,0.1,-0.29910831451416015,0.00632656493326067
Q9,30,0.0,0.0,0.0,-0.9083067893981933,0.005330958802005625
Q9,31,0.0,0.0,0.0,-1.158170795440674,-0.004647301450677333
Q10,0,0.0,0.0,0.0,-4.713408374786377,-0.0003045547519773706
Q10,1,0.0,0.0,0.0,-4.713556480407715,-0.00030455931585358085
Q10,2,0.0,0.0,0.0,-4.713822650909424,-0.0003045634640919559
Q10,3,0.0,0.0,0.0,-4.71443510055542,-0.00030457010804259
Q10,4,0.0,0.0,0.0,-4.7149858474731445,-0.00030456988846996327
Q10,5,0.0,0.0,0.0,-4.71540937423706,-0.00030457847648133194
Q10,6,0.0,0.0,0.0,-4.715063095092773,-0.0003045748356761635
Q10,7,0.0,0.0,0.0,-4.715267562866211,-0.00030456942072083494
Q10,8,0.0,0.0,0.0,-4.715798377990723,-0.00030457368057366094
Q10,9,0.0,0.0,0.0,-4.714743423461914,-0.0003045673699728191
Q10,10,0.0,0.0,0.0,-4.715040874481201,-0.00030458563259259106
Q10,11,0.0,0.0,0.0,-4.714783668518066,-0.0003045812763090794
