layer,head,n_trials,mean_delta_p,std_delta_p,mean_abs_delta_p
26,30,50,-4.1532515751896426e-05,0.0014695344725623727,0.00037566901301033795
22,1,50,6.829500307503622e-06,0.0008896190556697547,0.00037553429137915373
8,22,50,0.0003738617815542966,0.0008951754425652325,0.00037431478267535567
11,6,50,0.00023596406390424818,0.0008824566029943526,0.0003725040005519986
10,17,50,-0.00023977398814167827,0.0009221204090863466,0.0003718578955158591
15,24,50,-1.247882846655557e-05,0.0009825039887800813,0.0003677892673294991
10,25,50,0.000351624476024881,0.0009452978847548366,0.0003654098545666784
11,23,50,-0.00028699636459350586,0.0011104228906333447,0.0003649091813713312
31,24,50,0.0002595710684545338,0.0011514778016135097,0.00036387203726917505
9,30,50,2.799987851176411e-05,0.001274198293685913,0.0003636121691670269
25,11,50,0.00035281776217743754,0.0009411178762093186,0.00036125778569839895
11,2,50,0.0003493010881356895,0.0008866963908076286,0.00036089777131564915
31,22,50,0.00011499047104734927,0.0014565048040822148,0.0003599917981773615
24,20,50,-0.0001512563176220283,0.0011621000012382865,0.0003595936286728829
9,18,50,-0.00020640254660975188,0.0014718752354383469,0.0003595030284486711
7,1,50,-0.000156737572979182,0.0008420326630584896,0.00035943149123340845
8,2,50,-2.1288395146257244e-05,0.0010125079425051808,0.00035873413435183465
30,15,50,-0.0002621471940074116,0.001723228138871491,0.000358487362973392
12,17,50,0.0002827024436555803,0.0015320605598390102,0.00035691738594323397
21,9,50,0.0003557097807060927,0.0008379562059417367,0.0003564489015843719
10,21,50,-0.0001489722781116143,0.0009719658992253244,0.0003561627818271518
22,11,50,-0.00016790389781817794,0.0010430911788716912,0.0003553962742444128
26,0,50,0.00033481241553090513,0.001149200601503253,0.00035416483297012746
11,10,50,-0.00030471800710074604,0.0011065376456826925,0.00035366296651773155
7,5,50,7.430076948367059e-05,0.0008969320333562791,0.00035352230770513415
11,1,50,0.0003097975277341902,0.0009560601320117712,0.0003504598280414939
8,31,50,-5.2677394705824554e-05,0.001080502406693995,0.00034885286004282534
7,28,50,0.00015367985179182142,0.001330681494437158,0.0003486347268335521
28,11,50,-0.00018433570221532136,0.0008388718124479055,0.00034514188882894814
16,0,50,-0.00014207125059328973,0.0009495356935076416,0.00034499168395996094
12,18,50,0.000180016751983203,0.001254917704500258,0.00034470678656361997
25,15,50,0.0002176392008550465,0.0014192743692547083,0.000343927153153345
9,10,50,-0.0002806973352562636,0.0014642365276813507,0.00034231902100145817
9,0,50,-0.000331177725456655,0.0009983545169234276,0.0003420257708057761
31,20,50,-0.00026518464437685907,0.0010616176296025515,0.0003416311810724437
6,2,50,0.0003322780248709023,0.000770897138863802,0.00034028649679385126
16,7,50,0.0003141820488963276,0.0008743343641981483,0.0003392779908608645
20,26,50,-0.0003248953726142645,0.0013440372422337532,0.00033854960929602385
25,16,50,-3.782391650020145e-05,0.0010275878012180328,0.0003380310663487762
30,1,50,-0.0002661919570527971,0.000748060061596334,0.0003376698587089777
9,15,50,0.00016464949294459075,0.0008429482695646584,0.0003360986593179405
20,2,50,0.00025382041349075735,0.000997101771645248,0.00033356904168613255
19,23,50,8.419156074523926e-05,0.0007419583271257579,0.000333424803102389
17,22,50,-0.00018897413974627852,0.0009868367342278361,0.00033094047103077173
10,4,50,-0.00028702616691589355,0.0010201861150562763,0.00033076643012464046
9,7,50,0.00029632210498675704,0.0008608257048763335,0.0003306233847979456
13,8,50,0.0003137814928777516,0.0009253494790755212,0.00033031345810741186
20,23,50,-0.00019273042562417686,0.0008102751453407109,0.00032853841548785567
31,26,50,0.00011527180322445929,0.0011398870265111327,0.0003275120398029685
28,23,50,9.694695472717285e-05,0.0008587779011577368,0.00032592893694527447
10,16,50,0.00030838607926853,0.0009413224179297686,0.0003256976488046348
28,10,50,0.00028605462284758687,0.0008030483731999993,0.00032537459628656507
24,18,50,0.00026221631560474634,0.001022694748826325,0.0003236377378925681
9,8,50,-0.00030437231180258095,0.0011136378161609173,0.00032200096757151186
14,26,50,9.295702329836786e-05,0.0009240121580660343,0.00032047511194832623
24,16,50,0.00019526720279827714,0.0010370465461164713,0.0003201747022103518
8,23,50,-0.0003186643007211387,0.0008499435498379171,0.000318969483487308
9,19,50,0.00020080566173419356,0.000947413092944771,0.0003178358019795269
8,1,50,0.00011277675366727635,0.0008764683734625578,0.00031476496951654553
27,4,50,0.0002849304582923651,0.0009609932894818485,0.00031214355840347707
17,29,50,-0.00021773576736450195,0.0009684343240223825,0.00031166314147412777
18,19,50,-0.000268706091446802,0.000970872410107404,0.0003103077469859272
17,10,50,0.00014805913087911904,0.0010186725994572043,0.00030944228637963533
14,13,50,0.00021325469424482435,0.000864940753672272,0.00030830263858661056
28,27,50,-0.00021788477897644043,0.0012871825601905584,0.00030747533310204744
7,11,50,-0.0002538776316214353,0.0009063567267730832,0.00030364037957042456
10,29,50,0.00020396351465024054,0.0008422359824180603,0.00030294538009911776
7,29,50,-0.0001797163422452286,0.0013332560192793608,0.0003027927887160331
27,8,50,0.00010553717584116384,0.001144335139542818,0.0003022968885488808
11,21,50,0.00010945201211143285,0.0008933021454140544,0.00030200599576346576
28,0,50,-0.00016277670511044562,0.0009176264284178615,0.000299223669571802
16,8,50,0.0001272416120627895,0.0010897472966462374,0.00029915093909949064
7,12,50,0.000280529260635376,0.0008091549389064312,0.000298661005217582
20,20,50,0.00014559864939656109,0.001018317649140954,0.0002974093076772988
11,8,50,4.528045610641129e-05,0.0008756748284213245,0.0002974009548779577
27,16,50,-0.00022871494002174586,0.000785008305683732,0.0002960085985250771
28,18,50,-0.0002428937004879117,0.0007891907589510083,0.0002950263151433319
9,31,50,7.959365757415071e-05,0.0007559944060631096,0.00029405593522824347
9,17,50,-3.386974276509136e-05,0.0008527376921847463,0.00029399394406937063
30,18,50,0.00017054557974915951,0.0008112064097076654,0.00029388428083620965
29,20,50,-0.00019055604934692383,0.0011022641556337476,0.0002925229200627655
8,7,50,0.00023146033345256,0.0008515173103660345,0.0002917516103480011
8,16,50,-0.00010444402869325131,0.0010642544366419315,0.0002904772700276226
6,28,50,0.0001772785180946812,0.0009416980319656432,0.00028941870550625026
18,22,50,7.490158168366179e-05,0.0008762796642258763,0.0002889347088057548
9,22,50,-3.741979526239447e-05,0.0008386541157960892,0.0002873492194339633
17,31,50,-0.000237478016060777,0.0006952900439500809,0.00028675675275735557
17,25,50,9.473562386119738e-06,0.0007510522264055908,0.00028638719231821597
30,26,50,8.330822311108932e-05,0.001273329253308475,0.0002858114312402904
11,12,50,0.00013793230755254626,0.0007969923899509013,0.0002779030764941126
17,4,50,-0.0001947450655279681,0.0008504586876370013,0.00027414559735916555
14,1,50,-0.000266424409346655,0.00087740522576496,0.00027404428692534566
22,14,50,-9.358883107779548e-05,0.001238999073393643,0.0002721643541008234
29,31,50,0.00015964270278345793,0.0008977511897683144,0.00027160404715687037
16,21,50,-0.00021115779236424714,0.0008787636761553586,0.0002712845744099468
30,9,50,-0.00020002484961878508,0.0008557736873626709,0.0002711832639761269
14,2,50,-5.827784480061382e-05,0.0009988256497308612,0.0002704060170799494
9,12,50,9.762406261870638e-05,0.0007450304692611098,0.0002703297068364918
17,21,50,-4.4310094381216913e-05,0.0008685782086104155,0.0002681994519662112
13,21,50,-5.888938972020696e-07,0.0008367130067199469,0.0002653956471476704
8,15,50,-6.78086289553903e-05,0.0009030973305925727,0.00026292086113244295
25,14,50,-2.073407085845247e-05,0.0008639293955639005,0.00026267647626809776
6,29,50,-0.00013930202112533152,0.000916178454644978,0.0002620351442601532
19,14,50,-0.0001989710290217772,0.0006093991687521338,0.00026153444196097553
15,3,50,-0.000215731852222234,0.000690765620674938,0.0002615296980366111
28,15,50,0.00013448357640299946,0.0009607524843886495,0.0002612769603729248
12,22,50,2.9144286600057967e-05,0.0006519147427752614,0.00026081324904225767
9,1,50,0.0001998305378947407,0.0008840371738187969,0.00026067017461173236
13,1,50,-3.4722088457783684e-05,0.0008500891271978617,0.0002602016902528703
8,18,50,-0.000199090238311328,0.0012479100842028856,0.00026015163166448474
10,28,50,-3.945946809835732e-05,0.0007757815765216947,0.00025952220312319696
24,27,50,-0.0002116107934853062,0.000819551176391542,0.00025950907729566097
7,24,50,3.2769443350844085e-05,0.0007349945371970534,0.0002586925111245364
9,14,50,-0.00020596504327841103,0.0009478359716013074,0.0002572870289441198
8,24,50,-0.00012368916941341013,0.0007886706735007465,0.0002572131052147597
9,11,50,6.097555342421401e-06,0.0008125352906063199,0.0002552330552134663
29,23,50,0.00010323285823687911,0.0008104227599687874,0.0002520346606615931
11,13,50,3.581166311050765e-05,0.0008326997049152851,0.00025190235464833677
8,13,50,-0.00016836643044371158,0.0007906963001005352,0.00025178908254019916
18,5,50,-9.520888124825433e-05,0.0007592029287479818,0.000251513731200248
9,2,50,0.00022979617642704397,0.0007363028707914054,0.00025126099353656173
30,30,50,-0.00010220646800007671,0.0007848452078178525,0.0002507937024347484
23,25,50,0.00016646861331537366,0.0006060618907213211,0.00024972439859993756
